date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
1987-04,,,,,,,,,,,,,,,,,,,
1987-07,,,,,,,,,,,,,,,,,,,
1987-10,52,,,,,,,,,,,,,,,,,,
1987-11,36,,,,,,,,,,,,,,,,,,
1987-12,145,,,,,,,,,,,,,,,,,,
1988-01,41,6.447879223580158,73.65076335877863,19.5,0,2,5,11,17,57,66,76,81,85,12,15,19,23,29
1988-02,102,,,,,,,,,,,,,,,,,,
1988-03,71,,,,,,,,,,,,,,,,,,
1988-04,177,,,,,,,,,,,,,,,,,,
1988-05,213,,,,,,,,,,,,,,,,,,
1988-06,13,,,,,,,,,,,,,,,,,,
1988-07,205,1.5236650485436893,81.31656101426307,17.192737430167597,0,0,1,2,4,64,74,82,90,96,3,9,17,25,33
1988-08,114,,,,,,,,,,,,,,,,,,
1988-09,76,,,,,,,,,,,,,,,,,,
1988-10,141,,,,,,,,,,,,,,,,,,
1988-11,81,,,,,,,,,,,,,,,,,,
1988-12,95,,,,,,,,,,,,,,,,,,
1989-01,526,12.340663580246913,49.30468150422103,37.03291236127057,2,5,11,19,25,20,30,52,67,75,19,26,37,49,56
1989-02,95,,,,,,,,,,,,,,,,,,
1989-03,85,,,,,,,,,,,,,,,,,,
1989-04,129,,,,,,,,,,,,,,,,,,
1989-05,49,,,,,,,,,,,,,,,,,,
1989-06,133,,,,,,,,,,,,,,,,,,
1989-07,2,5.972367794187709,64.02008664828672,29.92747339377217,0,1,4,10,17,40,50,67,76,85,13,22,30,39,45
1989-08,147,,,,,,,,,,,,,,,,,,
1989-09,123,,,,,,,,,,,,,,,,,,
1989-10,184,7.498751040799334,58.41158419639432,33.34088291746641,0,2,7,13,17,41,47,60,69,74,23,28,33,39,44
1989-11,77,,,,,,,,,,,,,,,,,,
1989-12,151,,,,,,,,,,,,,,,,,,
1990-01,402,,,,,,,,,,,,,,,,,,
1990-02,163,,,,,,,,,,,,,,,,,,
1990-03,197,,,,,,,,,,,,,,,,,,
1990-04,26,5.946704067321178,66.84517766497461,26.536575052854122,0,2,5,9,16,48,57,68,77,83,13,19,26,34,40
1990-05,39,,,,,,,,,,,,,,,,,,
1990-06,3,,,,,,,,,,,,,,,,,,
1990-07,20,,,,,,,,,,,,,,,,,,
1990-08,75,,,,,,,,,,,,,,,,,,
1990-09,98,,,,,,,,,,,,,,,,,,
1990-10,86,,,,,,,,,,,,,,,,,,
1990-11,560,,,,,,,,,,,,,,,,,,
1990-12,134,,,,,,,,,,,,,,,,,,
1991-01,346,,,,,,,,,,,,,,,,,,
1991-02,183,,,,,,,,,,,,,,,,,,
1991-03,40,,,,,,,,,,,,,,,,,,
1991-04,80,5.11973018549747,62.547024952015356,31.580645161290324,0,2,4,8,12,43,50,64,74,81,17,23,31,41,47
1991-05,188,,,,,,,,,,,,,,,,,,
1991-06,90,,,,,,,,,,,,,,,,,,
1991-07,44,4.555656934306569,60.181603773584904,34.715127701375245,0,1,4,8,12,44,50,61,68,76,21,29,35,41,46
1991-08,17,,,,,,,,,,,,,,,,,,
1991-09,44,,,,,,,,,,,,,,,,,,
1991-10,64,9.199297971918877,53.48007662835249,36.17899578382522,2,4,9,14,18,37,43,55,63,69,26,31,36,42,48
1991-11,48,,,,,,,,,,,,,,,,,,
1991-12,24,,,,,,,,,,,,,,,,,,
1992-01,47,,,,,,,,,,,,,,,,,,
1992-02,128,,,,,,,,,,,,,,,,,,
1992-03,413,,,,,,,,,,,,,,,,,,
1992-04,137,11.070945945945946,69.11901081916538,20.023328149300156,1,4,9,17,28,50,59,70,79,87,7,13,19,27,36
1992-05,8,,,,,,,,,,,,,,,,,,
1992-06,20,,,,,,,,,,,,,,,,,,
1992-07,14,6.32280701754386,59.44911591355599,33.86729485669415,0,2,5,11,16,44,50,60,69,74,22,28,34,40,46
1992-08,47,,,,,,,,,,,,,,,,,,
1992-09,248,,,,,,,,,,,,,,,,,,
1992-10,89,9.78085405912717,54.35529953917051,34.79750922509225,2,5,10,14,19,40,44,55,64,69,24,28,34,41,47
1992-11,379,,,,,,,,,,,,,,,,,,
1992-12,87,,,,,,,,,,,,,,,,,,
1993-01,103,6.440677966101695,64.00680889695869,29.02724795640327,0,2,6,11,15,45,52,67,74,78,19,23,28,36,43
1993-02,64,,,,,,,,,,,,,,,,,,
1993-03,94,,,,,,,,,,,,,,,,,,
1993-04,20,5.699275362318841,69.98540706605223,24.25344563552833,0,1,4,10,15,50,57,73,81,86,12,17,23,33,40
1993-05,35,,,,,,,,,,,,,,,,,,
1993-06,24,,,,,,,,,,,,,,,,,,
1993-07,79,4.544273339749759,66.87891849529781,28.39309533150255,0,1,3,8,12,50,56,69,76,83,15,22,28,36,40
1993-08,153,,,,,,,,,,,,,,,,,,
1993-09,154,,,,,,,,,,,,,,,,,,
1993-10,97,5.709068010075566,62.60391104294479,30.90191570881226,0,2,5,9,13,47,53,64,71,77,21,26,30,37,42
1993-11,98,,,,,,,,,,,,,,,,,,
1993-12,121,,,,,,,,,,,,,,,,,,
1994-01,49,,,,,,,,,,,,,,,,,,
1994-02,25,,,,,,,,,,,,,,,,,,
1994-03,46,,,,,,,,,,,,,,,,,,
1994-04,94,15.20143312101911,47.57979953739399,36.32333717800846,1,4,14,26,34,23,33,47,63,74,22,29,37,43,50
1994-05,56,,,,,,,,,,,,,,,,,,
1994-06,130,,,,,,,,,,,,,,,,,,
1994-07,68,12.72562858403176,52.671782762691855,34.734565473849784,0,2,11,23,33,31,42,53,64,72,23,30,35,40,44
1994-08,70,,,,,,,,,,,,,,,,,,
1994-09,41,,,,,,,,,,,,,,,,,,
1994-10,38,19.471844660194176,48.1036866359447,31.259401381427477,2,5,14,36,45,27,35,49,61,68,19,26,32,37,40
1994-11,79,,,,,,,,,,,,,,,,,,
1994-12,205,,,,,,,,,,,,,,,,,,
1995-01,136,27.242362525458248,48.76938775510204,22.53019447287615,6,9,27,45,53,28,35,46,63,72,11,16,23,29,33
1995-02,34,,,,,,,,,,,,,,,,,,
1995-03,77,,,,,,,,,,,,,,,,,,
1995-04,50,7.765808983863934,63.87302839116719,27.922139205662603,0,2,6,14,21,44,54,65,73,80,16,23,28,33,39
1995-05,17,,,,,,,,,,,,,,,,,,
1995-06,15,,,,,,,,,,,,,,,,,,
1995-07,49,6.656709340919868,62.497231012658226,30.855784469096672,0,1,4,12,21,45,53,63,71,80,17,26,32,37,40
1995-08,76,,,,,,,,,,,,,,,,,,
1995-09,48,,,,,,,,,,,,,,,,,,
1995-10,157,,,,,,,,,,,,,,,,,,
1995-11,73,,,,,,,,,,,,,,,,,,
1995-12,191,,,,,,,,,,,,,,,,,,
1996-01,22,11.668937875751503,61.00650593187907,26.492142583365275,1,3,9,21,29,43,50,61,72,80,15,22,27,31,35
1996-02,237,,,,,,,,,,,,,,,,,,
1996-03,102,,,,,,,,,,,,,,,,,,
1996-04,8,,,,,,,,,,,,,,,,,,
1996-05,1,,,,,,,,,,,,,,,,,,
1996-06,248,,,,,,,,,,,,,,,,,,
1996-07,48,4.671751968503937,68.99564528899445,26.315013938669853,0,1,3,8,15,49,59,69,79,89,8,19,28,34,39
1996-08,121,,,,,,,,,,,,,,,,,,
1996-09,89,,,,,,,,,,,,,,,,,,
1996-10,184,,,,,,,,,,,,,,,,,,
1996-11,68,,,,,,,,,,,,,,,,,,
1996-12,53,,,,,,,,,,,,,,,,,,
1997-01,59,11.189130434782609,60.26137566137566,27.494167550371156,1,3,8,21,27,43,50,62,69,75,19,24,28,31,35
1997-02,196,,,,,,,,,,,,,,,,,,
1997-03,127,,,,,,,,,,,,,,,,,,
1997-04,85,11.701534733441035,62.79426578845409,24.756296009298723,1,4,10,19,27,45,53,64,72,78,15,20,25,30,35
1997-05,112,,,,,,,,,,,,,,,,,,
1997-06,87,,,,,,,,,,,,,,,,,,
1997-07,39,3.6728788621873467,72.78684003152088,23.251974723538705,0,1,2,6,12,53,64,74,81,91,8,16,24,30,37
1997-08,72,,,,,,,,,,,,,,,,,,
1997-09,61,,,,,,,,,,,,,,,,,,
1997-10,173,9.385807096451774,60.48548942449582,28.827518427518427,1,4,7,15,24,45,54,62,67,72,22,26,29,32,35
1997-11,142,,,,,,,,,,,,,,,,,,
1997-12,75,,,,,,,,,,,,,,,,,,
1998-01,8,9.266042154566744,63.55152065365411,26.117913832199548,1,3,7,16,24,45,53,66,73,79,17,21,26,31,35
1998-02,174,,,,,,,,,,,,,,,,,,
1998-03,86,,,,,,,,,,,,,,,,,,
1998-04,122,6.421098140942499,68.3054489639294,24.85270425776755,0,1,4,12,18,48,57,70,78,84,14,19,25,31,36
1998-05,29,,,,,,,,,,,,,,,,,,
1998-06,109,,,,,,,,,,,,,,,,,,
1998-07,54,3.5744163424124515,71.79214145383104,24.341329138812426,0,1,2,6,11,54,63,72,80,88,9,17,25,32,37
1998-08,42,,,,,,,,,,,,,,,,,,
1998-09,31,,,,,,,,,,,,,,,,,,
1998-10,99,9.001358695652174,59.71604938271605,30.841553637484587,0,2,8,16,23,46,51,59,68,74,24,28,31,34,36
1998-11,56,,,,,,,,,,,,,,,,,,
1998-12,39,,,,,,,,,,,,,,,,,,
1999-01,200,,,,,,,,,,,,,,,,,,
1999-02,212,,,,,,,,,,,,,,,,,,
1999-03,108,,,,,,,,,,,,,,,,,,
1999-04,116,,,,,,,,,,,,,,,,,,
1999-05,408,,,,,,,,,,,,,,,,,,
1999-06,62,,,,,,,,,,,,,,,,,,
1999-07,37,2.352038115404976,75.31637764932563,22.164213787761426,0,0,2,4,8,59,68,76,83,90,9,16,22,29,35
1999-08,90,,,,,,,,,,,,,,,,,,
1999-09,43,,,,,,,,,,,,,,,,,,
1999-10,182,,,,,,,,,,,,,,,,,,
1999-11,204,,,,,,,,,,,,,,,,,,
1999-12,63,,,,,,,,,,,,,,,,,,
2000-01,187,,,,,,,,,,,,,,,,,,
2000-02,63,,,,,,,,,,,,,,,,,,
2000-03,85,,,,,,,,,,,,,,,,,,
2000-04,220,,,,,,,,,,,,,,,,,,
2000-05,55,,,,,,,,,,,,,,,,,,
2000-06,27,,,,,,,,,,,,,,,,,,
2000-07,190,1.9089403973509933,76.34709777950916,21.440281030444964,0,0,1,3,6,61,69,76,84,92,6,14,22,29,35
2000-08,48,,,,,,,,,,,,,,,,,,
2000-09,81,,,,,,,,,,,,,,,,,,
2000-10,52,5.06998556998557,62.92622950819672,30.744010951403148,0,2,4,8,14,50,56,63,69,76,22,27,31,35,38
2000-11,29,,,,,,,,,,,,,,,,,,
2000-12,255,,,,,,,,,,,,,,,,,,
2001-01,50,,,,,,,,,,,,,,,,,,
2001-02,45,,,,,,,,,,,,,,,,,,
2001-03,44,,,,,,,,,,,,,,,,,,
2001-04,42,,,,,,,,,,,,,,,,,,
2001-05,26,,,,,,,,,,,,,,,,,,
2001-06,43,,,,,,,,,,,,,,,,,,
2001-07,72,1.7930635838150288,74.75341396800624,23.32265625,0,0,1,2,6,61,68,75,81,89,10,17,24,30,35
2001-08,148,,,,,,,,,,,,,,,,,,
2001-09,51,,,,,,,,,,,,,,,,,,
2001-10,158,3.11324570273003,66.21877394636016,30.41433499425067,0,1,2,5,11,54,60,66,72,78,20,27,31,35,38
